"Module","Path","HasSecurityModule","HasPermissionService","Status"
"app.module.ts","src\backend\app.module.ts","True","False","?????? Unnecessary import"
"common.module.ts","src\backend\common\common.module.ts","False","False","??? OK"
"cache.module.ts","src\backend\common\cache\cache.module.ts","False","False","??? OK"
"database.module.ts","src\backend\common\database\database.module.ts","False","False","??? OK"
"gdpr.module.ts","src\backend\common\gdpr\gdpr.module.ts","False","False","??? OK"
"logger.module.ts","src\backend\common\logger\logger.module.ts","False","False","??? OK"
"logging.module.ts","src\backend\common\logging\logging.module.ts","False","False","??? OK"
"metrics.module.ts","src\backend\common\metrics\metrics.module.ts","False","False","??? OK"
"security.module.ts","src\backend\common\security\security.module.ts","True","False","?????? Unnecessary import"
"auth.module.ts","src\backend\core\auth\auth.module.ts","False","True","??? MISSING SecurityModule"
"permission.module.ts","src\backend\core\permission\permission.module.ts","False","False","??? OK"
"settings.module.ts","src\backend\core\settings\settings.module.ts","False","False","??? OK"
"tenant.module.ts","src\backend\core\tenant\tenant.module.ts","False","True","??? MISSING SecurityModule"
"user.module.ts","src\backend\core\user\user.module.ts","False","True","??? MISSING SecurityModule"
"accounting.module.ts","src\backend\domains\accounting\accounting.module.ts","False","False","??? OK"
"accounting.module.ts","src\backend\domains\accounting\account\accounting.module.ts","True","True","??? CORRECT"
"bank-reconciliation.module.ts","src\backend\domains\accounting\bank-reconciliation\bank-reconciliation.module.ts","True","True","??? CORRECT"
"payment.module.ts","src\backend\domains\accounting\payment\payment.module.ts","True","True","??? CORRECT"
"reports.module.ts","src\backend\domains\accounting\reports\reports.module.ts","True","True","??? CORRECT"
"order.module.ts","src\backend\domains\ecommerce\order\order.module.ts","False","True","??? MISSING SecurityModule"
"product-catalog.module.ts","src\backend\domains\ecommerce\product-catalog\product-catalog.module.ts","False","True","??? MISSING SecurityModule"
"shopping-cart.module.ts","src\backend\domains\ecommerce\shopping-cart\shopping-cart.module.ts","False","True","??? MISSING SecurityModule"
"attendance.module.ts","src\backend\domains\hr\attendance\attendance.module.ts","False","False","??? OK"
"hr.module.ts","src\backend\domains\hr\hr\hr.module.ts","False","True","??? MISSING SecurityModule"
"leave.module.ts","src\backend\domains\hr\leave\leave.module.ts","False","False","??? OK"
"payroll.module.ts","src\backend\domains\hr\payroll\payroll.module.ts","False","False","??? OK"
"permission.module.ts","src\backend\domains\hr\permission\permission.module.ts","False","False","??? OK"
"role.module.ts","src\backend\domains\hr\role\role.module.ts","True","True","??? CORRECT"
"category.module.ts","src\backend\domains\inventory\category\category.module.ts","True","True","??? CORRECT"
"product.module.ts","src\backend\domains\inventory\product\product.module.ts","True","True","??? CORRECT"
"serial-batch.module.ts","src\backend\domains\inventory\serial-batch\serial-batch.module.ts","False","False","??? OK"
"inventory.module.ts","src\backend\domains\inventory\stock\inventory.module.ts","True","True","??? CORRECT"
"valuation.module.ts","src\backend\domains\inventory\valuation\valuation.module.ts","False","False","??? OK"
"bom.module.ts","src\backend\domains\manufacturing\bom\bom.module.ts","False","False","??? OK"
"material.module.ts","src\backend\domains\manufacturing\material\material.module.ts","False","False","??? OK"
"mold.module.ts","src\backend\domains\manufacturing\mold\mold.module.ts","False","False","??? OK"
"production.module.ts","src\backend\domains\manufacturing\mrp\production.module.ts","False","True","??? MISSING SecurityModule"
"quality-check.module.ts","src\backend\domains\manufacturing\quality-check\quality-check.module.ts","False","False","??? OK"
"work-center.module.ts","src\backend\domains\manufacturing\work-center\work-center.module.ts","False","False","??? OK"
"work-order.module.ts","src\backend\domains\manufacturing\work-order\work-order.module.ts","False","False","??? OK"
"project.module.ts","src\backend\domains\project\project.module.ts","False","False","??? OK"
"supplier.module.ts","src\backend\domains\purchasing\supplier\supplier.module.ts","True","True","??? CORRECT"
"crm.module.ts","src\backend\domains\sales\crm\crm.module.ts","True","True","??? CORRECT"
"customer.module.ts","src\backend\domains\sales\customer\customer.module.ts","True","True","??? CORRECT"
"order.module.ts","src\backend\domains\sales\order\order.module.ts","True","True","??? CORRECT"
"integration.module.ts","src\backend\integrations\integration\integration.module.ts","False","False","??? OK"
"payment-gateway.module.ts","src\backend\integrations\payment-gateway\payment-gateway.module.ts","False","True","??? MISSING SecurityModule"
"shipping.module.ts","src\backend\integrations\shipping\shipping.module.ts","False","True","??? MISSING SecurityModule"
"audit.module.ts","src\backend\platform\audit\audit.module.ts","True","True","??? CORRECT"
"dashboard.module.ts","src\backend\platform\dashboard\dashboard.module.ts","True","False","?????? Unnecessary import"
"document.module.ts","src\backend\platform\document\document.module.ts","True","True","??? CORRECT"
"email.module.ts","src\backend\platform\email\email.module.ts","False","False","??? OK"
"issue-tracking.module.ts","src\backend\platform\issue-tracking\issue-tracking.module.ts","False","False","??? OK"
"notification.module.ts","src\backend\platform\notification\notification.module.ts","True","True","??? CORRECT"
"report.module.ts","src\backend\platform\report\report.module.ts","False","False","??? OK"
"search.module.ts","src\backend\platform\search\search.module.ts","True","False","?????? Unnecessary import"
"support.module.ts","src\backend\platform\support\support.module.ts","False","False","??? OK"
"system-admin.module.ts","src\backend\platform\system-admin\system-admin.module.ts","False","False","??? OK"
"workflow.module.ts","src\backend\platform\workflow\workflow.module.ts","True","True","??? CORRECT"
"health.module.ts","src\backend\utilities\health\health.module.ts","False","False","??? OK"
"import-export.module.ts","src\backend\utilities\import-export\import-export.module.ts","False","False","??? OK"
"scheduled-jobs.module.ts","src\backend\utilities\scheduled-jobs\scheduled-jobs.module.ts","False","False","??? OK"
